title,price,area_sqm,bedrooms,bathrooms,property_type,furnishing,location,description,url,scraped_at,source,price_per_sqm,log_price,city
Apartment in New Cairo,2309760,126,4,2,Apartment,Semi-furnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 2 bathrooms, 126 sqm. Semi-furnished.",https://example.com/property/0,2026-05-04T18:39:28.475415,sample,18331.428571428572,14.652654613941827,Cairo
Studio in New Cairo,484944,57,0,1,Studio,Unfurnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 57 sqm. Unfurnished.",https://example.com/property/1,2026-05-04T18:39:28.475448,sample,8507.78947368421,13.091790761427264,Cairo
Studio in Cairo,487938,50,0,1,Studio,Semi-furnished,Cairo,"Beautiful studio in Cairo. 0 bedrooms, 1 bathrooms, 50 sqm. Semi-furnished.",https://example.com/property/2,2026-05-04T18:39:28.475454,sample,9758.76,13.097945677022134,Cairo
Studio in Giza,433382,60,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 60 sqm. Semi-furnished.",https://example.com/property/3,2026-05-04T18:39:28.475457,sample,7223.033333333334,12.979377142580429,Giza
Studio in 6th October,297869,39,0,1,Studio,Furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 39 sqm. Furnished.",https://example.com/property/4,2026-05-04T18:39:28.475461,sample,7637.666666666667,12.604412428695749,6th October
Townhouse in Giza,2160630,170,2,2,Townhouse,Semi-furnished,Giza,"Beautiful townhouse in Giza. 2 bedrooms, 2 bathrooms, 170 sqm. Semi-furnished.",https://example.com/property/5,2026-05-04T18:39:28.475466,sample,12709.588235294117,14.585910866628426,Giza
Townhouse in Giza,2279252,140,4,4,Townhouse,Unfurnished,Giza,"Beautiful townhouse in Giza. 4 bedrooms, 4 bathrooms, 140 sqm. Unfurnished.",https://example.com/property/6,2026-05-04T18:39:28.475471,sample,16280.371428571429,14.639358315668725,Giza
Apartment in Sheikh Zayed,2656146,158,2,2,Apartment,Semi-furnished,Sheikh Zayed,"Beautiful apartment in Sheikh Zayed. 2 bedrooms, 2 bathrooms, 158 sqm. Semi-furnished.",https://example.com/property/7,2026-05-04T18:39:28.475475,sample,16811.050632911392,14.792387134432449,Sheikh Zayed
Townhouse in 6th October,2730430,238,4,5,Townhouse,Furnished,6th October,"Beautiful townhouse in 6th October. 4 bedrooms, 5 bathrooms, 238 sqm. Furnished.",https://example.com/property/8,2026-05-04T18:39:28.475479,sample,11472.394957983193,14.819970030158,6th October
Townhouse in 6th October,3411731,255,5,5,Townhouse,Furnished,6th October,"Beautiful townhouse in 6th October. 5 bedrooms, 5 bathrooms, 255 sqm. Furnished.",https://example.com/property/9,2026-05-04T18:39:28.475482,sample,13379.33725490196,15.042730638201633,6th October
Villa in Giza,6125636,280,4,4,Villa,Furnished,Giza,"Beautiful villa in Giza. 4 bedrooms, 4 bathrooms, 280 sqm. Furnished.",https://example.com/property/10,2026-05-04T18:39:28.475486,sample,21877.27142857143,15.62799330898744,Giza
Apartment in Giza,1935465,147,2,2,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 2 bedrooms, 2 bathrooms, 147 sqm. Semi-furnished.",https://example.com/property/11,2026-05-04T18:39:28.475490,sample,13166.42857142857,14.475858682325267,Giza
Villa in 6th October,5294644,347,6,5,Villa,Unfurnished,6th October,"Beautiful villa in 6th October. 6 bedrooms, 5 bathrooms, 347 sqm. Unfurnished.",https://example.com/property/12,2026-05-04T18:39:28.475494,sample,15258.340057636888,15.482206490388577,6th October
Duplex in Alexandria,4460666,212,4,4,Duplex,Unfurnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 4 bathrooms, 212 sqm. Unfurnished.",https://example.com/property/13,2026-05-04T18:39:28.475498,sample,21040.877358490565,15.310808864384033,Alexandria
Apartment in New Cairo,4080765,169,4,4,Apartment,Furnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 4 bathrooms, 169 sqm. Furnished.",https://example.com/property/14,2026-05-04T18:39:28.475501,sample,24146.53846153846,15.221795273856479,Cairo
Townhouse in New Cairo,3563920,289,2,2,Townhouse,Furnished,New Cairo,"Beautiful townhouse in New Cairo. 2 bedrooms, 2 bathrooms, 289 sqm. Furnished.",https://example.com/property/15,2026-05-04T18:39:28.475505,sample,12331.90311418685,15.086371901221666,Cairo
Apartment in Giza,1377477,92,3,2,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 3 bedrooms, 2 bathrooms, 92 sqm. Semi-furnished.",https://example.com/property/16,2026-05-04T18:39:28.475509,sample,14972.576086956522,14.135764848919782,Giza
Villa in Sheikh Zayed,8332280,343,5,3,Villa,Unfurnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 5 bedrooms, 3 bathrooms, 343 sqm. Unfurnished.",https://example.com/property/17,2026-05-04T18:39:28.475513,sample,24292.361516034984,15.935647806190374,Sheikh Zayed
Studio in Sheikh Zayed,682133,48,0,1,Studio,Unfurnished,Sheikh Zayed,"Beautiful studio in Sheikh Zayed. 0 bedrooms, 1 bathrooms, 48 sqm. Unfurnished.",https://example.com/property/18,2026-05-04T18:39:28.475516,sample,14211.104166666666,13.432981398464165,Sheikh Zayed
Apartment in Cairo,1770245,132,4,2,Apartment,Unfurnished,Cairo,"Beautiful apartment in Cairo. 4 bedrooms, 2 bathrooms, 132 sqm. Unfurnished.",https://example.com/property/19,2026-05-04T18:39:28.475519,sample,13410.94696969697,14.38662907794361,Cairo
Villa in New Cairo,9709206,328,6,5,Villa,Semi-furnished,New Cairo,"Beautiful villa in New Cairo. 6 bedrooms, 5 bathrooms, 328 sqm. Semi-furnished.",https://example.com/property/20,2026-05-04T18:39:28.475523,sample,29601.23780487805,16.088585168549354,Cairo
Townhouse in Sheikh Zayed,2248956,209,2,1,Townhouse,Furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 2 bedrooms, 1 bathrooms, 209 sqm. Furnished.",https://example.com/property/21,2026-05-04T18:39:28.475526,sample,10760.555023923445,14.625977111149956,Sheikh Zayed
Duplex in New Cairo,2938348,116,3,3,Duplex,Semi-furnished,New Cairo,"Beautiful duplex in New Cairo. 3 bedrooms, 3 bathrooms, 116 sqm. Semi-furnished.",https://example.com/property/22,2026-05-04T18:39:28.475529,sample,25330.58620689655,14.893358416952545,Cairo
Studio in New Cairo,432368,31,0,1,Studio,Furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 31 sqm. Furnished.",https://example.com/property/23,2026-05-04T18:39:28.475532,sample,13947.354838709678,12.977034669300167,Cairo
Apartment in Alexandria,1739643,120,1,1,Apartment,Semi-furnished,Alexandria,"Beautiful apartment in Alexandria. 1 bedrooms, 1 bathrooms, 120 sqm. Semi-furnished.",https://example.com/property/24,2026-05-04T18:39:28.475537,sample,14497.025,14.369191052556598,Alexandria
Villa in Alexandria,4644559,168,4,5,Villa,Unfurnished,Alexandria,"Beautiful villa in Alexandria. 4 bedrooms, 5 bathrooms, 168 sqm. Unfurnished.",https://example.com/property/25,2026-05-04T18:39:28.475541,sample,27646.184523809523,15.351207200232029,Alexandria
Apartment in Sheikh Zayed,3004847,143,4,2,Apartment,Semi-furnished,Sheikh Zayed,"Beautiful apartment in Sheikh Zayed. 4 bedrooms, 2 bathrooms, 143 sqm. Semi-furnished.",https://example.com/property/26,2026-05-04T18:39:28.475544,sample,21012.916083916083,14.915737542309385,Sheikh Zayed
Duplex in Sheikh Zayed,2576640,200,2,1,Duplex,Semi-furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 2 bedrooms, 1 bathrooms, 200 sqm. Semi-furnished.",https://example.com/property/27,2026-05-04T18:39:28.475547,sample,12883.2,14.761997170655714,Sheikh Zayed
Duplex in Sheikh Zayed,2730417,106,2,3,Duplex,Semi-furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 2 bedrooms, 3 bathrooms, 106 sqm. Semi-furnished.",https://example.com/property/28,2026-05-04T18:39:28.475550,sample,25758.650943396227,14.819965268993572,Sheikh Zayed
Villa in 6th October,5730981,266,5,4,Villa,Furnished,6th October,"Beautiful villa in 6th October. 5 bedrooms, 4 bathrooms, 266 sqm. Furnished.",https://example.com/property/29,2026-05-04T18:39:28.475554,sample,21545.041353383458,15.56139745271582,6th October
Apartment in Sheikh Zayed,1764251,171,2,1,Apartment,Unfurnished,Sheikh Zayed,"Beautiful apartment in Sheikh Zayed. 2 bedrooms, 1 bathrooms, 171 sqm. Unfurnished.",https://example.com/property/30,2026-05-04T18:39:28.475557,sample,10317.25730994152,14.383237362488622,Sheikh Zayed
Apartment in 6th October,1007870,96,1,2,Apartment,Unfurnished,6th October,"Beautiful apartment in 6th October. 1 bedrooms, 2 bathrooms, 96 sqm. Unfurnished.",https://example.com/property/31,2026-05-04T18:39:28.475560,sample,10498.645833333334,13.823350743233323,6th October
Villa in 6th October,6238165,285,6,7,Villa,Unfurnished,6th October,"Beautiful villa in 6th October. 6 bedrooms, 7 bathrooms, 285 sqm. Unfurnished.",https://example.com/property/32,2026-05-04T18:39:28.475563,sample,21888.298245614034,15.646196786889115,6th October
Villa in Cairo,4263643,150,4,3,Villa,Furnished,Cairo,"Beautiful villa in Cairo. 4 bedrooms, 3 bathrooms, 150 sqm. Furnished.",https://example.com/property/33,2026-05-04T18:39:28.475567,sample,28424.286666666667,15.26563475166131,Cairo
Villa in Alexandria,9592141,369,6,7,Villa,Semi-furnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 7 bathrooms, 369 sqm. Semi-furnished.",https://example.com/property/34,2026-05-04T18:39:28.475571,sample,25994.962059620597,16.076454779583244,Alexandria
Townhouse in New Cairo,4895884,287,4,3,Townhouse,Semi-furnished,New Cairo,"Beautiful townhouse in New Cairo. 4 bedrooms, 3 bathrooms, 287 sqm. Semi-furnished.",https://example.com/property/35,2026-05-04T18:39:28.475575,sample,17058.829268292684,15.403905614336347,Cairo
Apartment in New Cairo,1740107,104,1,2,Apartment,Unfurnished,New Cairo,"Beautiful apartment in New Cairo. 1 bedrooms, 2 bathrooms, 104 sqm. Unfurnished.",https://example.com/property/36,2026-05-04T18:39:28.475579,sample,16731.798076923078,14.36945773823003,Cairo
Duplex in Alexandria,4187125,187,3,3,Duplex,Semi-furnished,Alexandria,"Beautiful duplex in Alexandria. 3 bedrooms, 3 bathrooms, 187 sqm. Semi-furnished.",https://example.com/property/37,2026-05-04T18:39:28.475582,sample,22391.042780748663,15.247525137693941,Alexandria
Villa in Giza,3999812,178,6,7,Villa,Unfurnished,Giza,"Beautiful villa in Giza. 6 bedrooms, 7 bathrooms, 178 sqm. Unfurnished.",https://example.com/property/38,2026-05-04T18:39:28.475586,sample,22470.85393258427,15.201758167991349,Giza
Studio in New Cairo,567572,53,0,1,Studio,Furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 53 sqm. Furnished.",https://example.com/property/39,2026-05-04T18:39:28.475589,sample,10708.905660377359,13.249124654426238,Cairo
Townhouse in 6th October,2356270,202,5,3,Townhouse,Unfurnished,6th October,"Beautiful townhouse in 6th October. 5 bedrooms, 3 bathrooms, 202 sqm. Unfurnished.",https://example.com/property/40,2026-05-04T18:39:28.475592,sample,11664.70297029703,14.672590842605585,6th October
Apartment in Giza,2526518,136,3,3,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 3 bedrooms, 3 bathrooms, 136 sqm. Semi-furnished.",https://example.com/property/41,2026-05-04T18:39:28.475595,sample,18577.33823529412,14.742353023970802,Giza
Duplex in 6th October,2944306,136,4,5,Duplex,Furnished,6th October,"Beautiful duplex in 6th October. 4 bedrooms, 5 bathrooms, 136 sqm. Furnished.",https://example.com/property/42,2026-05-04T18:39:28.475598,sample,21649.308823529413,14.895384033285438,6th October
Studio in Giza,647942,57,0,1,Studio,Furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 57 sqm. Furnished.",https://example.com/property/43,2026-05-04T18:39:28.475601,sample,11367.40350877193,13.38155800850248,Giza
Duplex in Cairo,2712027,195,2,2,Duplex,Unfurnished,Cairo,"Beautiful duplex in Cairo. 2 bedrooms, 2 bathrooms, 195 sqm. Unfurnished.",https://example.com/property/44,2026-05-04T18:39:28.475604,sample,13907.83076923077,14.813207252472901,Cairo
Villa in Sheikh Zayed,6170846,167,6,5,Villa,Furnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 6 bedrooms, 5 bathrooms, 167 sqm. Furnished.",https://example.com/property/45,2026-05-04T18:39:28.475608,sample,36951.17365269461,15.635346663607413,Sheikh Zayed
Studio in New Cairo,512939,46,0,1,Studio,Furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 46 sqm. Furnished.",https://example.com/property/46,2026-05-04T18:39:28.475611,sample,11150.847826086956,13.147914158248334,Cairo
Duplex in Alexandria,3323121,104,4,5,Duplex,Semi-furnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 5 bathrooms, 104 sqm. Semi-furnished.",https://example.com/property/47,2026-05-04T18:39:28.475614,sample,31953.08653846154,15.016415260475615,Alexandria
Studio in Alexandria,405989,47,0,1,Studio,Semi-furnished,Alexandria,"Beautiful studio in Alexandria. 0 bedrooms, 1 bathrooms, 47 sqm. Semi-furnished.",https://example.com/property/48,2026-05-04T18:39:28.475617,sample,8638.063829787234,12.914083807738661,Alexandria
Apartment in New Cairo,2315171,163,4,3,Apartment,Semi-furnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 3 bathrooms, 163 sqm. Semi-furnished.",https://example.com/property/49,2026-05-04T18:39:28.475620,sample,14203.503067484662,14.654994540798663,Cairo
Apartment in New Cairo,2328330,177,3,1,Apartment,Semi-furnished,New Cairo,"Beautiful apartment in New Cairo. 3 bedrooms, 1 bathrooms, 177 sqm. Semi-furnished.",https://example.com/property/50,2026-05-04T18:39:28.475623,sample,13154.406779661016,14.660662259857128,Cairo
Villa in Sheikh Zayed,7735140,332,6,5,Villa,Unfurnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 6 bedrooms, 5 bathrooms, 332 sqm. Unfurnished.",https://example.com/property/51,2026-05-04T18:39:28.475627,sample,23298.614457831325,15.861284270653154,Sheikh Zayed
